company,job,degree,salary_more_then_100k
google,sales executive,bachelors,1
google,sales executive,masters,1
google,business manager,bachelors,1
google,business manager,masters,0
google,computer programmer,bachelors,1
google,computer programmer,masters,0
abc pharma,sales executive,masters,1
abc pharma,computer programmer,bachelors,1
abc pharma,business manager,bachelors,1
abc pharma,business manager,masters,0
facebook,sales executive,bachelors,0
facebook,sales executive,masters,0
facebook,business manager,bachelors,0
facebook,business manager,masters,0
facebook,computer programmer,bachelors,0
facebook,computer programmer,masters,0